CustomerID,Age,Gender,AnnualIncome,SpendingScore,ProductCategory,Membership,PurchaseFrequency,SatisfactionScore
85,25,Male,92437,10,Books,Gold,7,3
86,31,Female,126794,48,Home Decor,Basic,11,1
87,40,Female,86773,20,Home Decor,Basic,9,4
88,57,Female,30833,6,Books,Basic,13,4
89,38,Female,59770,44,Groceries,Gold,9,1
90,33,Female,91743,48,Electronics,Platinum,11,3
91,62,Female,69921,72,Electronics,Silver,11,5
92,35,Female,118048,99,Home Decor,Platinum,10,4
93,64,Female,59541,64,Books,Platinum,8,4
94,41,Male,26975,79,Fashion,Silver,20,1
95,43,Female,95240,29,Groceries,Gold,6,1
96,42,Male,94055,72,Groceries,Platinum,7,5
97,62,Male,67956,9,Home Decor,Silver,11,2
98,58,Male,26679,93,Fashion,Silver,11,4
99,46,Male,54177,23,Fashion,Platinum,6,4
100,32,Male,138074,55,Electronics,Gold,9,1
101,62,Female,123013,76,Books,Silver,6,2
102,18,Male,42491,28,Fashion,Platinum,10,2
103,42,Female,85953,47,Books,Platinum,8,2
104,24,Male,108375,15,Books,Silver,8,3
105,26,Female,29675,99,Home Decor,Basic,12,3
106,41,Female,36753,93,Books,Silver,12,4
107,18,Male,103972,58,Groceries,Silver,8,5
108,61,Female,69260,18,Groceries,Basic,11,3
109,25,Male,54683,40,Fashion,Silver,5,5
110,41,Female,102102,18,Books,Platinum,7,2
111,28,Female,33942,74,Fashion,Basic,9,5
112,68,Male,39747,7,Electronics,Platinum,6,5
113,34,Female,88423,2,Books,Basic,14,1
114,25,Female,109949,82,Electronics,Gold,13,4
115,52,Female,74966,51,Groceries,Silver,12,3
116,52,Female,146601,35,Fashion,Silver,8,4
117,50,Female,45684,10,Electronics,Gold,8,5
118,22,Female,29389,20,Books,Basic,11,2
119,59,Male,28755,57,Home Decor,Platinum,13,4
120,56,Female,116189,74,Fashion,Silver,6,5
121,58,Male,142593,13,Fashion,Platinum,9,3
122,45,Female,64769,24,Fashion,Gold,9,1
123,24,Male,20643,42,Electronics,Platinum,6,4
124,26,Female,40663,63,Fashion,Silver,12,1
125,25,Male,119594,46,Home Decor,Gold,9,2
126,29,Female,71669,61,Electronics,Gold,6,3
127,51,Male,121480,75,Groceries,Silver,10,3
128,50,Male,67281,63,Fashion,Silver,12,3
129,65,Male,77020,20,Groceries,Platinum,10,4
130,40,Female,79030,16,Groceries,Basic,17,3
131,41,Female,60317,35,Fashion,Basic,7,1
132,54,Female,23184,77,Groceries,Gold,8,4
133,52,Male,65025,9,Home Decor,Silver,15,5
134,61,Female,44861,95,Home Decor,Platinum,5,2
135,57,Male,118426,36,Books,Platinum,12,4
136,39,Female,142840,14,Groceries,Gold,9,3
137,44,Male,140828,43,Home Decor,Platinum,13,3
138,52,Male,134775,76,Books,Platinum,13,3
139,18,Male,98360,23,Electronics,Platinum,7,3
140,52,Female,118845,49,Groceries,Platinum,10,4
141,54,Male,114886,96,Groceries,Platinum,8,3
142,64,Female,28171,1,Fashion,Silver,3,5
143,31,Male,56815,80,Books,Basic,7,5
144,20,Female,97385,50,Electronics,Basic,8,2
145,18,Male,65022,58,Home Decor,Basic,11,5
146,22,Male,61851,75,Books,Basic,14,2
147,43,Male,124330,29,Fashion,Platinum,11,1
148,31,Female,62568,2,Books,Silver,8,3
149,56,Male,122819,16,Groceries,Gold,10,2
150,44,Male,105615,80,Groceries,Platinum,12,3
151,26,Female,66802,27,Home Decor,Basic,11,2
152,32,Female,102611,36,Groceries,Basic,12,1
153,32,Male,24612,97,Home Decor,Platinum,11,5
154,43,Female,97643,26,Groceries,Gold,15,2
155,59,Female,78057,75,Books,Silver,10,1
156,30,Male,54047,7,Home Decor,Platinum,4,2
157,68,Female,32941,38,Books,Basic,16,3
158,49,Male,86451,38,Electronics,Silver,10,4
159,56,Male,97331,25,Books,Basic,8,5
160,66,Male,30155,52,Electronics,Gold,13,1
161,69,Female,83478,56,Fashion,Basic,7,4
162,49,Female,106115,50,Books,Basic,10,4
163,21,Male,59923,72,Groceries,Gold,4,5
164,47,Male,70456,58,Groceries,Gold,9,3
165,54,Female,34504,92,Books,Silver,7,3
166,40,Female,68493,6,Books,Silver,11,3
167,56,Male,64414,29,Electronics,Silver,12,3
168,62,Male,130916,67,Groceries,Basic,9,2
169,32,Male,37640,36,Fashion,Platinum,18,1
170,60,Female,148090,6,Fashion,Silver,9,5
171,46,Male,104737,1,Books,Platinum,12,4
172,53,Female,111019,79,Electronics,Gold,11,3
173,30,Male,69179,29,Home Decor,Basic,20,2
174,49,Female,75339,79,Groceries,Gold,10,5
175,24,Female,112812,12,Groceries,Silver,10,2
176,68,Male,50292,56,Fashion,Gold,18,1
177,39,Female,82250,6,Fashion,Basic,12,4
178,45,Female,91990,59,Fashion,Platinum,7,4
179,19,Male,40359,52,Books,Basic,8,5
180,59,Female,124315,37,Home Decor,Platinum,4,5
181,62,Female,145759,71,Home Decor,Platinum,5,3
182,23,Male,54164,42,Fashion,Silver,13,1
183,45,Female,97579,39,Books,Gold,11,2
184,45,Female,116552,39,Electronics,Silver,8,5
185,61,Male,53835,55,Books,Platinum,8,1
186,61,Male,93738,46,Groceries,Silver,14,4
187,37,Male,65842,68,Groceries,Silver,11,2
188,47,Female,147356,53,Fashion,Gold,11,3
189,28,Male,34139,61,Home Decor,Gold,10,4
190,45,Male,89319,10,Home Decor,Silver,11,2
191,42,Male,45498,77,Groceries,Platinum,10,5
192,56,Male,139288,7,Groceries,Platinum,7,3
193,50,Male,65254,35,Fashion,Basic,8,1
194,18,Male,107508,69,Home Decor,Silver,11,4
195,44,Male,78488,82,Groceries,Basic,15,1
196,69,Female,28090,7,Fashion,Silver,7,5
197,30,Female,27181,38,Electronics,Platinum,7,3
198,58,Male,101887,8,Books,Silver,8,4
199,20,Male,124924,43,Electronics,Basic,13,4
200,56,Female,140215,42,Electronics,Silver,14,3
201,23,Male,75871,26,Groceries,Platinum,7,4
202,25,Female,65787,6,Home Decor,Platinum,10,3
203,44,Male,75959,82,Groceries,Silver,14,3
204,26,Female,91413,58,Electronics,Gold,11,4
205,54,Male,120225,10,Books,Silver,12,1
206,50,Female,89555,73,Electronics,Gold,9,5
207,68,Female,95870,12,Groceries,Silver,8,1
208,59,Male,93995,29,Fashion,Platinum,16,4
209,61,Female,40672,21,Groceries,Basic,15,1
210,41,Female,79835,21,Groceries,Platinum,7,1
211,32,Male,82521,91,Groceries,Gold,17,1
212,49,Female,73204,42,Home Decor,Platinum,8,5
213,49,Female,25084,76,Fashion,Platinum,10,3
214,41,Female,134781,29,Home Decor,Silver,10,4
215,58,Female,28489,90,Books,Platinum,17,3
216,69,Male,28704,90,Home Decor,Gold,13,4
217,66,Female,109493,92,Electronics,Basic,14,4
218,66,Female,134025,14,Electronics,Gold,4,4
219,69,Female,146279,25,Books,Platinum,8,5
220,29,Female,70060,39,Electronics,Basic,14,4
221,56,Male,22253,59,Electronics,Gold,9,5
222,19,Female,71177,72,Books,Platinum,11,4
223,20,Male,99040,62,Groceries,Gold,9,3
224,66,Male,106239,79,Books,Silver,7,5
225,54,Female,124485,27,Books,Basic,19,5
226,66,Male,65503,99,Fashion,Gold,15,3
227,34,Female,149867,5,Fashion,Platinum,15,2
228,66,Female,53587,4,Home Decor,Basic,9,5
229,19,Female,147982,52,Books,Silver,7,5
230,19,Male,39948,85,Fashion,Platinum,18,2
231,45,Male,77454,84,Electronics,Gold,8,4
232,40,Female,149016,6,Home Decor,Platinum,10,1
233,54,Male,132891,29,Books,Gold,10,2
234,49,Male,134511,55,Books,Silver,16,1
235,50,Male,121847,67,Home Decor,Silver,12,5
236,18,Male,124939,36,Electronics,Basic,14,1
237,36,Female,79987,17,Books,Basic,13,3
238,19,Female,97290,37,Books,Silver,14,4
239,61,Female,81803,49,Electronics,Platinum,8,5
240,43,Male,117439,89,Home Decor,Platinum,14,2
241,49,Female,112671,99,Electronics,Silver,9,3
242,23,Female,86202,64,Home Decor,Basic,13,4
243,49,Female,54913,57,Electronics,Platinum,10,1
244,21,Male,91356,21,Fashion,Gold,12,2
245,28,Male,74268,66,Groceries,Basic,10,3
246,34,Male,108661,11,Books,Gold,11,5
247,55,Female,40029,17,Books,Silver,10,5
248,41,Female,20258,61,Books,Silver,8,1
249,22,Female,30320,95,Home Decor,Basic,14,3
250,69,Male,64925,83,Groceries,Platinum,16,4
251,51,Female,56301,29,Fashion,Platinum,7,2
252,23,Male,65914,77,Groceries,Platinum,7,4
253,39,Male,124806,21,Fashion,Basic,7,4
254,28,Male,108531,69,Books,Platinum,12,5
255,65,Female,112525,51,Home Decor,Platinum,7,4
256,33,Male,33406,28,Groceries,Platinum,10,2
257,50,Female,111624,15,Electronics,Platinum,16,1
258,26,Male,68414,91,Home Decor,Gold,6,4
259,23,Female,115964,4,Groceries,Silver,11,2
260,33,Male,82143,38,Electronics,Gold,7,4
261,46,Female,81097,67,Books,Platinum,10,2
262,20,Female,25689,29,Home Decor,Silver,9,5
263,37,Male,149066,11,Groceries,Platinum,7,4
264,53,Female,85183,51,Books,Basic,8,3
265,36,Female,127677,36,Fashion,Platinum,8,1
266,43,Male,136970,91,Books,Platinum,10,3
267,20,Male,51194,99,Groceries,Silver,11,2
268,36,Female,54642,57,Books,Basic,15,3
269,37,Male,111006,5,Groceries,Basic,6,3
270,49,Female,86492,16,Home Decor,Platinum,11,1
271,24,Male,123835,85,Groceries,Basic,6,2
272,69,Male,101708,25,Home Decor,Gold,10,2
273,58,Male,57257,30,Groceries,Silver,12,3
274,50,Female,74415,51,Books,Gold,9,4
275,57,Male,74174,3,Electronics,Platinum,16,1
276,56,Female,22057,37,Groceries,Platinum,8,4
277,35,Female,101406,71,Books,Gold,9,1
278,57,Male,38761,3,Fashion,Silver,9,5
279,18,Male,130427,58,Home Decor,Platinum,14,3
280,28,Male,97067,72,Fashion,Gold,10,1
281,45,Male,149504,21,Books,Gold,7,1
282,42,Male,111291,18,Home Decor,Gold,8,5
283,67,Female,102449,58,Books,Silver,13,2
284,40,Male,80339,10,Groceries,Silver,9,2
285,48,Female,133563,20,Home Decor,Platinum,9,2
286,47,Female,146235,40,Fashion,Gold,15,1
287,59,Male,138250,29,Fashion,Basic,6,3
288,52,Male,96518,94,Fashion,Basic,13,2
289,24,Female,78303,36,Groceries,Gold,18,2
290,33,Female,149293,32,Electronics,Gold,14,1
291,43,Male,36647,70,Fashion,Gold,8,4
292,65,Female,86013,19,Books,Platinum,4,3
293,69,Female,61315,95,Books,Gold,10,2
294,66,Female,97058,97,Electronics,Basic,11,4
295,19,Male,116457,68,Home Decor,Silver,10,3
296,18,Female,145064,75,Fashion,Basic,6,5
297,65,Female,49742,70,Home Decor,Gold,8,4
298,29,Female,44638,12,Fashion,Basic,9,2
299,22,Male,49607,37,Home Decor,Silver,8,2
300,54,Male,56940,46,Fashion,Silver,5,2
301,49,Female,131445,31,Electronics,Silver,11,3
302,26,Female,82072,17,Groceries,Silver,16,3
303,58,Female,103863,4,Fashion,Basic,13,4
304,52,Male,142310,15,Books,Basic,11,3
305,36,Male,38444,45,Fashion,Platinum,5,4
306,65,Female,51109,12,Books,Basic,13,4
307,33,Female,38098,74,Fashion,Platinum,13,4
308,20,Female,34139,6,Electronics,Gold,16,5
309,37,Female,138602,22,Fashion,Silver,9,4
310,41,Female,127164,62,Groceries,Basic,11,4
311,50,Female,105519,41,Home Decor,Basic,12,5
312,41,Female,148757,95,Books,Platinum,14,1
313,69,Male,77811,16,Home Decor,Platinum,12,3
314,28,Male,80095,72,Books,Silver,14,1
315,66,Male,106356,46,Groceries,Silver,7,4
316,25,Female,105046,62,Electronics,Platinum,9,1
317,53,Male,48060,58,Electronics,Platinum,8,2
318,55,Female,60269,36,Books,Gold,7,1
319,57,Male,141142,3,Fashion,Basic,7,1
320,37,Male,34523,29,Groceries,Gold,9,3
321,52,Male,123080,3,Groceries,Silver,15,4
322,65,Male,87279,51,Groceries,Silver,11,2
323,42,Male,115752,10,Home Decor,Gold,11,5
324,52,Female,47653,46,Home Decor,Silver,8,2
325,42,Female,75909,96,Groceries,Platinum,6,4
326,46,Male,58300,85,Groceries,Silver,9,2
327,35,Female,130225,6,Home Decor,Gold,10,3
328,63,Male,36663,32,Books,Platinum,15,1
329,35,Male,108114,92,Home Decor,Silver,12,5
330,19,Male,131376,68,Fashion,Gold,7,1
331,52,Female,148227,94,Groceries,Silver,12,4
332,33,Male,43828,61,Books,Silver,13,3
333,58,Male,145522,81,Books,Basic,12,1
334,53,Female,84829,64,Home Decor,Silver,10,1
335,50,Male,104950,64,Books,Gold,4,4
336,21,Female,44922,92,Electronics,Platinum,13,4
337,50,Female,97940,39,Home Decor,Platinum,14,3
338,31,Female,149098,74,Home Decor,Gold,3,2
339,38,Female,145401,1,Home Decor,Gold,9,2
340,65,Female,37780,51,Fashion,Gold,14,1
341,37,Female,31573,95,Electronics,Silver,12,5
342,25,Female,140714,96,Books,Gold,12,4
343,24,Female,32458,54,Groceries,Platinum,10,2
344,20,Female,88309,20,Electronics,Platinum,10,5
345,34,Female,140696,93,Home Decor,Gold,14,4
346,50,Female,121074,37,Groceries,Silver,11,1
347,65,Female,42407,58,Home Decor,Basic,8,5
348,29,Female,111130,89,Fashion,Platinum,7,1
349,68,Female,23734,1,Home Decor,Silver,8,2
350,39,Female,30479,54,Electronics,Gold,7,4
351,39,Female,31896,79,Fashion,Platinum,7,2
352,63,Female,117076,98,Home Decor,Gold,12,3
353,47,Male,101622,87,Electronics,Platinum,7,2
354,55,Male,37191,93,Books,Gold,12,1
355,55,Female,103720,13,Home Decor,Gold,18,3
356,62,Female,127671,2,Fashion,Platinum,15,1
357,68,Male,68971,40,Books,Platinum,10,3
358,25,Male,61035,56,Home Decor,Platinum,12,3
359,44,Female,69887,69,Books,Gold,7,4
360,44,Female,120993,22,Groceries,Basic,12,4
361,51,Male,107290,59,Groceries,Platinum,9,3
362,38,Female,63845,55,Fashion,Platinum,9,3
363,47,Male,120611,15,Home Decor,Basic,15,3
364,50,Female,42844,77,Electronics,Silver,5,3
365,45,Male,100588,30,Books,Silver,13,4
366,64,Female,135837,25,Electronics,Silver,6,2
367,50,Female,73951,85,Fashion,Gold,8,4
368,22,Male,135235,81,Books,Platinum,8,4
369,65,Female,97352,100,Home Decor,Basic,8,5
370,36,Male,111494,39,Home Decor,Gold,13,3
371,21,Male,73413,34,Electronics,Gold,6,2
372,52,Male,42865,98,Electronics,Basic,11,5
373,66,Female,66734,49,Fashion,Platinum,12,1
374,34,Male,143695,53,Fashion,Platinum,4,2
375,61,Female,146304,38,Books,Gold,10,5
376,45,Male,56585,50,Groceries,Basic,13,3
377,47,Male,102333,59,Home Decor,Basic,10,4
378,46,Male,122115,62,Books,Gold,3,1
379,63,Male,119006,26,Groceries,Basic,6,5
380,23,Female,41528,66,Home Decor,Platinum,10,1
381,52,Female,61731,98,Electronics,Platinum,12,4
382,58,Female,52273,62,Books,Platinum,7,4
383,54,Female,118220,100,Fashion,Basic,10,2
384,41,Female,49303,52,Fashion,Gold,9,3
385,46,Female,103445,62,Books,Platinum,16,3
386,66,Male,105344,98,Home Decor,Silver,13,1
387,63,Female,48243,68,Electronics,Gold,12,4
388,48,Female,116745,75,Books,Basic,7,3
389,52,Female,51444,42,Groceries,Platinum,6,3
390,50,Female,143328,13,Electronics,Silver,6,1
391,69,Female,132097,36,Fashion,Platinum,10,1
392,38,Female,49000,69,Electronics,Platinum,14,4
393,49,Male,71776,75,Home Decor,Platinum,13,3
394,40,Male,112526,27,Home Decor,Silver,11,3
395,50,Female,119866,3,Electronics,Gold,4,2
396,20,Male,44270,45,Fashion,Gold,8,2
397,35,Female,74359,92,Electronics,Basic,4,4
398,42,Male,104923,35,Fashion,Platinum,12,3
399,59,Female,96730,37,Books,Silver,6,5
400,48,Male,145336,14,Home Decor,Platinum,12,3
401,20,Male,85441,29,Electronics,Platinum,13,4
402,57,Female,88843,62,Electronics,Silver,12,2
403,63,Female,106065,81,Fashion,Basic,12,3
404,41,Male,61142,14,Groceries,Silver,18,3
405,67,Female,135081,31,Fashion,Basic,15,2
406,49,Female,35325,48,Groceries,Silver,8,5
407,64,Female,121228,38,Electronics,Silver,13,2
408,39,Female,38152,55,Home Decor,Silver,8,5
409,40,Female,57049,5,Books,Basic,10,4
410,19,Female,61048,18,Home Decor,Silver,8,2
411,44,Male,118178,82,Home Decor,Gold,13,4
412,59,Female,80406,15,Books,Platinum,8,5
413,19,Female,36469,51,Electronics,Silver,9,2
414,43,Male,23687,68,Fashion,Basic,16,1
415,34,Male,35981,53,Home Decor,Platinum,11,5
416,57,Male,52887,9,Fashion,Platinum,17,3
417,50,Female,93815,19,Home Decor,Gold,13,1
418,26,Male,80471,25,Electronics,Silver,8,3
419,60,Male,127674,49,Fashion,Silver,8,1
420,65,Male,70063,84,Books,Silver,12,3
421,56,Male,88901,78,Electronics,Basic,15,4
422,46,Male,130952,59,Books,Platinum,11,2
423,59,Male,126420,8,Home Decor,Platinum,10,3
424,43,Male,51427,73,Home Decor,Platinum,10,5
425,52,Male,104502,21,Books,Silver,6,3
426,67,Female,79986,98,Home Decor,Gold,14,5
427,42,Female,123095,40,Home Decor,Platinum,8,1
428,41,Male,103662,57,Books,Silver,9,2
429,30,Female,86270,59,Fashion,Gold,13,2
430,24,Female,129655,77,Fashion,Platinum,10,2
431,53,Female,43498,26,Electronics,Silver,3,1
432,62,Male,85588,42,Books,Basic,10,1
433,37,Male,136425,59,Electronics,Gold,7,1
434,18,Female,79079,30,Groceries,Basic,8,5
435,25,Male,34018,47,Home Decor,Gold,5,4
436,63,Female,114610,61,Books,Platinum,8,1
437,33,Male,142371,84,Groceries,Basic,8,1
438,31,Female,56764,7,Books,Platinum,9,2
439,29,Male,136652,54,Books,Basic,10,1
440,68,Male,57736,20,Home Decor,Silver,9,1
441,40,Female,52276,16,Books,Basic,12,3
442,32,Female,31061,2,Groceries,Basic,12,3
443,45,Female,33555,10,Groceries,Silver,13,5
444,51,Female,123037,99,Fashion,Basic,14,5
445,19,Male,82316,43,Home Decor,Platinum,12,4
446,49,Male,28904,28,Books,Silver,10,1
447,40,Female,130643,10,Electronics,Silver,9,2
448,39,Female,115474,77,Electronics,Gold,10,3
449,68,Male,26127,22,Home Decor,Basic,14,3
450,42,Male,130993,34,Books,Silver,9,5
451,39,Male,124146,16,Home Decor,Gold,9,2
452,39,Male,117936,72,Home Decor,Silver,6,4
453,66,Female,113739,84,Fashion,Silver,7,1
454,69,Female,110730,74,Fashion,Basic,5,5
455,59,Male,49335,55,Electronics,Gold,9,5
456,23,Male,27280,64,Electronics,Platinum,8,2
457,32,Female,82341,93,Groceries,Basic,8,4
458,60,Female,132862,53,Groceries,Basic,7,5
459,54,Male,78010,42,Fashion,Silver,18,4
460,50,Female,80846,30,Groceries,Platinum,15,1
461,25,Female,30209,60,Home Decor,Silver,12,4
462,61,Male,40653,88,Groceries,Gold,9,1
463,61,Female,148346,2,Groceries,Platinum,10,3
464,22,Male,83834,34,Home Decor,Gold,11,3
465,56,Male,81090,42,Fashion,Silver,10,4
466,21,Male,26328,21,Electronics,Basic,13,5
467,23,Female,90027,34,Fashion,Basic,10,4
468,62,Female,84796,32,Electronics,Basic,8,3
469,49,Female,30552,30,Home Decor,Silver,9,1
470,69,Male,70373,64,Fashion,Basic,9,4
471,47,Female,148566,78,Electronics,Basic,6,1
472,64,Female,28100,19,Books,Platinum,8,4
473,52,Male,100966,30,Fashion,Silver,9,5
474,57,Female,123109,58,Groceries,Gold,9,1
475,69,Female,137300,41,Electronics,Gold,8,2
476,33,Male,113709,27,Books,Basic,19,1
477,30,Female,148497,16,Electronics,Gold,5,3
478,67,Female,128052,25,Fashion,Platinum,6,4
479,59,Female,106477,89,Books,Silver,11,3
480,47,Female,115079,88,Groceries,Silver,12,3
481,36,Female,76845,61,Books,Platinum,8,2
482,34,Female,145748,67,Electronics,Gold,8,3
483,36,Male,142994,88,Books,Platinum,10,5
484,45,Male,131455,11,Electronics,Platinum,9,2
485,43,Male,122105,32,Home Decor,Basic,10,4
486,54,Female,92062,87,Electronics,Gold,8,3
487,43,Male,82658,76,Groceries,Platinum,6,2
488,40,Male,135918,85,Electronics,Gold,3,4
489,26,Male,118132,37,Fashion,Gold,17,1
490,29,Female,136573,52,Fashion,Silver,5,3
491,18,Male,56271,34,Groceries,Silver,8,1
492,18,Female,125976,85,Groceries,Platinum,15,2
493,64,Male,46606,90,Home Decor,Gold,3,1
494,51,Male,148461,100,Fashion,Platinum,12,3
495,49,Male,83598,50,Fashion,Basic,7,3
496,65,Male,123863,34,Books,Silver,13,5
497,42,Female,47302,9,Fashion,Silver,11,1
498,57,Male,43140,82,Fashion,Gold,7,3
499,62,Male,139976,42,Books,Silver,5,2
500,18,Male,55247,39,Home Decor,Gold,9,2
501,33,Female,58555,30,Groceries,Gold,7,4
502,56,Male,146209,3,Home Decor,Basic,9,3
503,22,Male,31029,2,Groceries,Basic,5,4
504,39,Female,95766,67,Groceries,Silver,14,2
505,46,Female,35814,79,Books,Platinum,10,3
506,20,Male,95499,67,Groceries,Basic,6,1
507,29,Male,52383,98,Electronics,Silver,12,4
508,43,Male,49023,17,Electronics,Basic,11,4
509,33,Male,34458,63,Electronics,Silver,12,5
510,68,Female,119004,3,Electronics,Gold,8,2
511,54,Male,26991,71,Books,Platinum,7,3
512,39,Male,64323,95,Books,Basic,15,5
513,46,Male,29153,10,Electronics,Silver,11,1
514,31,Female,40816,99,Fashion,Basic,9,4
515,45,Female,40272,92,Groceries,Silver,10,4
516,22,Male,112930,55,Home Decor,Silver,8,5
517,64,Female,144911,20,Electronics,Basic,15,2
518,66,Male,42806,1,Electronics,Gold,11,1
519,47,Male,136666,42,Fashion,Silver,8,2
520,63,Female,49540,13,Books,Platinum,11,1
521,69,Female,76550,8,Fashion,Silver,12,1
522,22,Female,66747,24,Electronics,Gold,6,5
523,29,Male,56972,22,Fashion,Platinum,7,3
524,33,Female,54664,91,Groceries,Silver,5,4
525,43,Male,129383,47,Home Decor,Silver,10,5
526,43,Female,113728,33,Fashion,Platinum,4,4
527,65,Male,86685,60,Electronics,Basic,12,3
528,38,Male,51299,26,Groceries,Platinum,8,3
529,56,Male,89364,44,Groceries,Basic,9,2
530,53,Female,59238,3,Fashion,Basic,9,3
531,50,Female,41770,60,Electronics,Platinum,12,4
532,47,Female,44039,94,Home Decor,Platinum,9,1
533,54,Male,26791,10,Fashion,Gold,10,4
534,40,Female,88883,6,Books,Basic,6,5
535,27,Female,65117,17,Groceries,Silver,6,5
536,22,Female,143050,59,Books,Basic,12,1
537,53,Female,113798,7,Groceries,Basic,12,2
538,51,Male,113275,14,Fashion,Basic,6,4
539,69,Female,23146,98,Groceries,Platinum,11,4
540,48,Male,64657,70,Electronics,Silver,12,2
541,27,Male,106136,33,Books,Basic,7,4
542,36,Male,48373,82,Fashion,Silver,15,1
543,49,Male,79875,70,Electronics,Gold,12,4
544,18,Male,74981,18,Electronics,Silver,7,2
545,22,Female,44574,94,Electronics,Basic,18,1
546,62,Female,143142,68,Groceries,Basic,5,3
547,21,Male,91817,25,Electronics,Basic,14,3
548,33,Female,58055,67,Electronics,Basic,9,5
549,41,Male,124963,46,Groceries,Basic,15,2
550,33,Male,120552,69,Fashion,Silver,12,5
551,19,Male,87685,40,Groceries,Basic,8,2
552,66,Male,39440,58,Fashion,Basic,8,3
553,45,Female,34354,5,Fashion,Platinum,9,1
554,49,Male,79757,74,Electronics,Platinum,12,2
